Strategy,Annual Return,Annual Volatility,Sharpe Ratio,Max Drawdown,Calmar Ratio,Total Return
Dynamic Regime-Aware,0.0875412604674044,0.07425293682067538,1.1789602434018334,-0.09240933571878839,0.9473205254261532,0.846104998965296
60/40,0.08910804251321736,0.10180976532105913,0.8752406238459872,-0.21010784866273627,0.4241062058383787,0.8656234630907478
Equal Weight,0.07878075428903464,0.07949836738261953,0.9909732348322189,-0.13025412657753774,0.6048234812901532,0.7401843101885024
Stock Heavy,0.11701979647874472,0.13410719304019256,0.8725840413621463,-0.2927616989747505,0.39971006073727283,1.2444573431546857
