,CAGR,AnnVol,Sharpe,Sortino,MaxDD,Calmar,AnnTurnover
Dynamic (gross),0.040786399218055935,0.09634229618982722,0.46351205716773564,0.5262541432075509,-0.21714082030045523,0.1878338635804188,1.88696102207508
Dynamic (net),0.03931720883332579,0.09631732873377975,0.4489388950163372,0.5096375704129317,-0.21741916332203803,0.18083598626993944,1.88696102207508
60/40 (net),0.10036222615391122,0.11035996909088157,0.9222190460048897,1.0867830638101044,-0.20104471288823889,0.49920350907065514,0.1293282119824997
Equal-weight (net),0.09704159788519462,0.08578672071422017,1.1227362025920744,1.5345251529353636,-0.12616440319740452,0.7691678114099856,0.15178925965414858
