Date,mom_21d_NSE,vol_21d_avg,VIX,corr_NSE_IEF_21d
2015-02-06,0.0015758862233035981,0.15936885765911904,17.290000915527344,-0.052675073782661966
2015-02-09,-0.012065827381340103,0.15956355903148703,18.549999237060547,-0.03339206119685863
2015-02-10,0.022943254687067496,0.14604803570778394,17.229999542236328,0.1403500744873627
2015-02-11,0.0332497930964982,0.14731933914417691,16.959999084472656,0.13837531574267065
2015-02-12,0.026734829263174695,0.14466374508913657,15.34000015258789,0.21024560063982445
2015-02-13,0.0314200893543982,0.14421153594767483,14.6899995803833,0.15509778948861458
2015-02-19,0.029733365507006095,0.14242130373708095,15.289999961853027,0.14107342856285043
2015-02-20,0.025612425093590997,0.14327287199527047,14.300000190734863,0.14496119347374917
2015-02-23,0.019305376577218196,0.14456263717052928,14.5600004196167,0.10906385578653313
2015-02-24,-0.005709072716353502,0.1256180404419767,13.6899995803833,-0.15043314462873425
2015-02-25,-0.007432058376402202,0.12190798112596686,13.84000015258789,-0.1318792556898155
2015-02-26,-0.0208813016283163,0.12355347087711048,13.90999984741211,-0.03996915604649416
2015-02-27,-0.006186835904994699,0.12801054705467727,13.34000015258789,0.055778303802516305
2015-03-02,-0.0020196739211454998,0.12901649304615329,13.039999961853027,-0.10624203469217249
2015-03-03,0.0019543616043066997,0.12697562427140807,13.859999656677246,-0.12358600508939552
2015-03-04,-0.0105197478309763,0.12224761934368711,14.229999542236328,-0.1278616234883232
2015-03-05,0.007324506012942099,0.1062381040938312,14.039999961853027,0.07098289160889386
2015-03-10,0.003513127571393099,0.10708972317223504,16.690000534057617,0.02822748686735904
2015-03-11,0.006777624365229099,0.10407064071720092,16.8700008392334,-0.028034783151712598
2015-03-12,0.019239533582877798,0.10391524179431234,15.420000076293944,0.005923432607174696
2015-03-13,0.0058944921566294,0.10705115659740144,16.0,0.013845416266831544
2015-03-16,0.0100358426020858,0.08891737590732936,15.609999656677246,-0.10421141769144864
2015-03-17,0.036098554569219496,0.08546906293269686,15.65999984741211,-0.09554653934221974
2015-03-18,0.027215037350709008,0.10005236496589687,13.970000267028809,-0.15342452120597763
2015-03-19,0.014102285795162803,0.09802412329565131,14.06999969482422,-0.08819424038285169
2015-03-20,-0.003014625958396598,0.1006472698732787,13.020000457763672,-0.11777373784320762
2015-03-23,-0.016077647152576098,0.0983960575513893,13.40999984741211,-0.05959815484440638
2015-03-24,-0.0199575730212035,0.09758041969574117,13.619999885559082,-0.040761018933262005
2015-03-25,-0.014420419366938698,0.09684863204854217,15.4399995803833,-0.050345876469075866
2015-03-26,-0.0278392051560237,0.10436060297881312,15.800000190734863,0.15827986989390955
2015-03-27,-0.028745394730888447,0.10392788482894848,15.06999969482422,0.1525471546777551
2015-03-30,-0.011404292526689546,0.11176159853078972,14.510000228881836,0.12615422726321346
2015-03-31,-0.0019991066066713456,0.1092822093493796,15.289999961853027,0.06293049720495579
2015-04-01,-0.009185924473807946,0.11152902213833694,15.109999656677246,0.05925578056607411
2015-04-07,-0.021740182129466205,0.10669290615638248,14.779999732971191,0.2406690487725278
2015-04-08,-0.019913034839466808,0.10737933613727864,13.979999542236328,0.24579546146817435
