Date,mom_21d_NSE_zscore,vol_21d_avg_zscore,VIX_zscore,corr_NSE_IEF_21d_zscore,state,prob_state_0,prob_state_1,prob_state_2,max_prob,regime
2015-08-25,-1.955022064955995,1.7743307961445898,5.805608339528907,-0.2597555036740031,1,0.0,1.0,8.558923635348453e-181,1.0,Crisis
2015-08-26,-2.2047421032277743,2.072681490733104,3.963887300543581,-0.0160198207387247,1,9.863642673110547e-77,0.9999999901810952,9.819541315019956e-09,0.9999999901810952,Crisis
2015-08-27,-1.6381510087771995,2.249485632711344,2.785645754375313,-0.0337465551309092,1,1.068980023163314e-39,0.9999966812047708,3.3187952470756495e-06,0.9999966812047708,Crisis
2015-08-28,-1.5785454291267154,2.162428359571856,2.6831125875564235,-0.0614547277417874,1,7.770189272401213e-37,0.9999945536204063,5.446380451207755e-06,0.9999945536204063,Crisis
2015-08-31,-2.12066909732702,1.9276885413872105,3.1207504787865563,-0.4287446299639707,1,2.8839921328604525e-50,0.9999994038736943,5.961256468405245e-07,0.9999994038736943,Crisis
2015-09-01,-2.8617170054911485,1.9925580899182305,3.603611885581304,-0.761793681103346,1,4.304886989919003e-61,0.9999999911979103,8.802613193910182e-09,0.9999999911979103,Crisis
2015-09-02,-2.9408895017353465,1.9734645210460504,2.361493759774792,-0.7169926023900076,1,7.414619434237296e-36,0.9999992524738511,7.475259107404731e-07,0.9999992524738511,Crisis
2015-09-03,-2.612430889892348,2.0508291587429466,2.206090385634186,-0.4048469453093939,1,1.8062817780064658e-31,0.9999977727700089,2.227230362915381e-06,0.9999977727700089,Crisis
2015-09-04,-3.225808538616549,2.1158174876583047,2.598098996002857,-0.6382905607691148,1,5.858116654695616e-38,0.9999998340317826,1.6596760076817894e-07,0.9999998340317826,Crisis
2015-09-09,-2.5546117792960508,2.3932351880997333,2.217413313989131,-0.6545864636801759,1,4.651139446159828e-31,0.9999995792260027,4.2077449235384544e-07,0.9999995792260027,Crisis
2015-09-10,-2.46777687719424,2.2388672709442505,1.8031306888308931,-0.6864918193979683,1,2.9816597504452036e-25,0.9999990341170932,9.658828323518248e-07,0.9999990341170932,Crisis
2015-09-11,-2.19742174148382,2.1092542724221657,1.5433582410880091,-0.6418761439236916,1,4.777801477467823e-21,0.9999970990926398,2.9009077150043044e-06,0.9999970990926398,Crisis
2015-09-14,-1.4886799409618456,1.943155300326127,1.7321322894324789,-0.6173288494483063,1,1.8572924906655695e-23,0.9999797345006141,2.026549894970602e-05,0.9999797345006141,Crisis
2015-09-15,-1.6455248219517655,1.9755495352682415,1.370896989944173,-0.3887667132547016,1,1.1624206015292166e-17,0.999984414343584,1.5585657111812826e-05,0.999984414343584,Crisis
2015-09-16,-1.908191928252197,1.9474595393527327,1.1212021231227722,-0.3321851863479055,1,4.636694568984624e-16,0.999991053222407,8.946776736346198e-06,0.999991053222407,Crisis
2015-09-21,-1.7620476305019233,1.9925054376658904,0.8713748589736156,-0.3497204747139681,1,5.034621477208643e-15,0.9999957588060069,4.241194280962802e-06,0.9999957588060069,Crisis
2015-09-22,-2.260791522281973,2.129988754321364,1.3231932292626738,-0.5827928850102286,1,2.3455153548237737e-18,0.9999982070310283,1.7929682397289956e-06,0.9999982070310283,Crisis
2015-09-23,-2.188333354935317,1.8963279635800523,1.249352809957277,-0.8546614487350955,1,4.1743719070087416e-17,0.9999759965728616,2.4003427080916548e-05,0.9999759965728616,Crisis
2015-09-24,-1.6928249579658656,1.9409342589736127,1.501580130213829,-0.7047813987130398,1,3.1614969239502086e-17,0.9987297582907446,0.0012702417095229246,0.9987297582907446,Crisis
2015-09-29,-1.2810437722891002,1.8891181841218403,2.132224606806988,-0.4835969664708283,1,1.8013817122099718e-24,0.9679474516916935,0.03205254830789028,0.9679474516916935,Crisis
2015-09-30,0.7169235383623193,0.4879300153580778,1.6500090675251404,-0.1533624198473671,1,2.5105055841927877e-39,0.5763333636297033,0.42366663637073304,0.5763333636297033,Crisis
2015-10-01,0.4752299519093929,0.3011842389107739,1.2556151509819158,0.0724989467583146,2,4.314829567980523e-29,0.09579939028920936,0.9042006097111354,0.9042006097111354,Bear
2015-10-06,0.8880910069539684,0.1079527965979362,0.6347925574821364,-0.3937901976860189,2,6.657201343001189e-29,0.012384430921411987,0.9876155690784602,0.9876155690784602,Bear
2015-10-07,0.4274302372592178,-0.0862362508675404,0.4365200603766438,-0.3817145055835474,2,5.9613920175782384e-24,0.0005456316369859487,0.9994543683637838,0.9994543683637838,Bear
2015-10-08,0.0869032125681419,-0.132230486955625,0.2425404392106784,-0.2718727114049795,2,2.873445777591212e-18,1.6673185310034798e-05,0.999983326814646,0.999983326814646,Bear
2015-10-09,0.3912625840570403,0.0937292913976845,0.1747299571495843,-0.2859809468786137,2,8.78843769427013e-18,1.2408699094470897e-05,0.9999875913005324,0.9999875913005324,Bear
2015-10-12,0.8747186634440403,-0.2545885785969878,-0.0057341224189307,0.275065935782911,2,1.9751310435114978e-18,6.402238405595767e-06,0.9999935977616895,0.9999935977616895,Bear
2015-10-13,1.0698790059462535,-0.3392893240723232,0.2917210084226384,0.0199412918009232,2,5.78621177091962e-27,1.8419426270621355e-05,0.9999815805736224,0.9999815805736224,Bear
2015-10-14,0.6144955408122521,-0.2510533814401301,0.3622440571943127,-0.3503435039134971,2,3.69569596826073e-26,1.676483783751109e-05,0.9999832351627592,0.9999832351627592,Bear
2015-10-15,1.4346054025359636,-0.580126102971399,-0.0339704122966685,-0.1124435679456266,2,1.4571289620065353e-30,3.072900126571109e-05,0.9999692709981258,0.9999692709981258,Bear
2015-10-16,1.1621117162034031,-0.8492141398109234,-0.233995548559608,-0.2556567379596003,2,6.321859924522192e-30,1.672226957426788e-05,0.9999832777300365,0.9999832777300365,Bear
2015-10-19,1.377387702049364,-0.8483051451104463,-0.2472607715799629,-0.4156184405453529,2,5.420162085679106e-34,3.2309022208254914e-05,0.9999676909773257,0.9999676909773257,Bear
2015-10-20,1.317614080725993,-0.823380986927514,-0.0913988232941867,-0.2409011635042061,2,5.122366839259408e-33,2.9555033658880605e-05,0.9999704449657849,0.9999704449657849,Bear
2015-10-21,0.9917285551847744,-0.7809371118953236,0.1008283630105926,-0.4446021013964811,2,8.986919436356155e-34,3.0155425879325293e-05,0.999969844573507,0.999969844573507,Bear
2015-10-26,1.0198507422864436,-0.9293639870182504,-0.1852531162060635,-1.3963657566284875,2,2.2961998228305864e-44,6.203705425637748e-05,0.9999379629460924,0.9999379629460924,Bear
2015-10-27,0.6845858858535213,-1.060856619284669,-0.1562052390909868,-1.435192534360586,2,1.4631326103627108e-42,4.292795975536467e-05,0.9999570720402738,0.9999570720402738,Bear
2015-10-28,0.4948807929558216,-0.9861682650606304,-0.3798827786629258,-0.9351890949803672,2,5.1929222756931634e-30,9.770321935256524e-06,0.9999902296772049,0.9999902296772049,Bear
2015-10-29,0.8604723097355906,-1.306374648832211,-0.3213645858796956,0.9578345174408788,2,8.353420461006784e-21,1.073837441875563e-06,0.9999989261620011,0.9999989261620011,Bear
