,CAGR,AnnVol,Sharpe,Sortino,MaxDD,Calmar,AnnTurnover
Dynamic (gross),0.04355784431322185,0.09640892464777422,0.4908501597084245,0.5565945897461059,-0.2156944890684086,0.20194231434168566,1.7093007715830648
Dynamic (net),0.0422204051208066,0.09641583639074235,0.4775186546680641,0.541600799701744,-0.2159740665785732,0.1954883092662723,1.7093007715830648
60/40 (net),0.10036222615391122,0.11035996909088157,0.9222190460048897,1.0867830638101044,-0.20104471288823889,0.49920350907065514,0.1293282119824997
Equal-weight (net),0.09704159788519462,0.08578672071422017,1.1227362025920744,1.5345251529353636,-0.12616440319740452,0.7691678114099856,0.15178925965414858
