,Bull,Bear,Crisis
Bull,0.7416489622735569,0.2551612143312819,0.0031898233951610754
Bear,0.25187277944504394,0.5977068105548959,0.15042041000006
Crisis,0.0019004246082265264,0.16633396216560173,0.8317656132261717
