Date,Dynamic Regime-Aware,60/40,Equal Weight,Stock Heavy
2015-08-25,-0.004657178588345049,0.0032891246895836597,-0.0029397821413361335,0.005865219360097035
2015-08-26,-0.00947740816233191,-0.0092723346829277,-0.010418458254588467,-0.010683909821312534
2015-08-27,0.00387757863498297,0.01175142459101754,0.006651647429613334,0.015912527782963086
2015-08-28,0.00411213560098218,0.00406241899524632,0.0052656589339899335,0.00579270399475795
2015-08-31,-0.00128199172401984,-0.00297899938347606,-0.0014750887994635664,-0.00326864499664165
2015-09-01,-0.0014214134849322103,-0.01233115710147846,-0.005190736802546201,-0.017985142077899446
2015-09-02,-0.0047349338309693,-0.006418053109282279,-0.005643145294561867,-0.00778037030467113
2015-09-03,0.0017869261633735802,0.009161879555809379,0.0029588405293996993,0.01091975110484856
2015-09-04,-0.0037708486392783397,-0.01178561784693244,-0.007287856328763867,-0.017061129381160733
2015-09-09,-0.0003535690305669294,0.0102374788102345,0.0013918055325919335,0.012855540654972797
2015-09-10,-0.00120356568230523,-0.00324730849758438,-0.0012703827720228,-0.0033475341321607356
2015-09-11,0.0007253559710770201,0.0011448920981514202,0.0002383584660332333,0.00041439584058574
2015-09-14,0.00275685233371291,0.0067307773703457596,0.004031824231012032,0.008643235216294445
2015-09-15,-0.005956796399352669,-0.00645971022183888,-0.005472754335895766,-0.005733647126653526
2015-09-16,0.00560747871337336,0.005230942588579119,0.007283374040565733,0.00774478557936768
2015-09-21,-0.00484770571611794,-0.0026437909411999,-0.004184907824494166,-0.00164959410376424
2015-09-22,-0.0037548750735959,-0.010564018449757039,-0.007598266995986865,-0.01632910633334349
2015-09-23,0.00150095425601693,0.00215330442277942,0.002398774259392333,0.0035000344278425257
2015-09-24,0.00754893842833472,0.00231981634330966,0.008374454539548366,0.00355809051013013
2015-09-29,0.0017157770466011202,0.00502700030819302,0.0018191141384411667,0.00518200594595309
2015-09-30,-0.0003604631221446296,0.008098502790085099,0.0010442739858014002,0.010205608452004146
2015-10-01,0.00016916740303684003,0.00046293447479716005,-6.19038079472333e-05,0.000257393345067605
2015-10-06,0.00446240340601912,0.00329409490019858,0.005380553376202,0.004108463150288165
2015-10-07,-9.30794141572599e-05,0.0007985312941677198,-0.00032048184648690006,0.0019518962666627753
2015-10-08,-0.00442278517748522,-0.0045778601502948595,-0.0045386348639624,-0.005361215163405976
2015-10-09,0.006327524087205881,0.00466140349474348,0.007894088804595334,0.006787249851913531
2015-10-12,-0.0001277522411365598,-0.00204888170920154,0.0005536583014667,-0.0038161334775855204
2015-10-13,0.0007718321605446801,-0.0005064362689864599,0.0014646960134691333,-0.000784300786964825
2015-10-14,0.00446510916420878,0.0004224251978815804,0.0066013034689026,-0.0006628850837527955
2015-10-15,0.0012342958249275796,0.0039086158161847195,0.00026533670818433314,0.0062922391087261095
2015-10-16,0.00110762494924454,0.003953910682833919,-0.00025807940101933366,0.0052366622699205004
2015-10-19,0.0007651287946688003,0.00249632906878608,-6.021150442856653e-05,0.0032965035639348356
2015-10-20,-0.0007575028814146602,-0.00234525872621806,0.0004217829355800001,-0.001495387563295735
2015-10-21,-0.0008911917781788,0.0006498527998633602,-0.0022277151869276,-0.00089475968234978
2015-10-26,-0.0007713340233585801,-0.0014889441298322197,-0.0007474445365470001,-0.0030139812938544852
2015-10-27,0.00010797432731269978,-0.0010107908984686399,0.0004634865975887332,-0.0021948416429415306
2015-10-28,-0.006706241423605641,-0.006592475118398101,-0.006937101213148067,-0.007202225142465235
2015-10-29,-0.00730790157468056,-0.00684542329258618,-0.007692345377362065,-0.0072465114179294755
2015-10-30,-0.00225380894785746,-0.0026229083979902594,-0.0025173831384810333,-0.00444178537562746
2015-11-02,-0.00319850800172106,-0.0022673681572676196,-0.0037516124345678666,-0.0022464451304229052
2015-11-03,-0.0035485041293101404,-0.0003152360251878002,-0.005446646111498834,-0.00015841522412013485
2015-11-04,-0.0033299748825662,-0.00194208629084396,-0.004355960031489866,-0.00266678126793267
2015-11-05,-0.0051261473304496,-0.00662170029122106,-0.004791616951173966,-0.00873220553067322
2015-11-06,-0.005718978432256501,-0.0028108772035807003,-0.007213335474909,-0.0018714883490070252
2015-11-09,-0.00207934031545046,-0.00364041658067504,-0.0012531620793533667,-0.0040546697920662445
2015-11-10,-0.006381399475165301,-0.00931912388118722,-0.0056694186989509,-0.01325907588393254
2015-11-16,0.00309732560091026,0.00394730543643926,0.0028223384116489664,0.004828558106649661
2015-11-17,-0.0011901278828612004,0.0022608090211015,-0.003208100932499,0.0024580181188758247
2015-11-18,-0.005447003763381801,-0.00833973680670964,-0.004392657497049568,-0.010894587655451407
2015-11-19,0.00876179055741324,0.009417066369822119,0.009130073777966666,0.012272499024817451
2015-11-20,-0.0007351631951855999,0.0005261947016201199,-0.0013707649499320666,0.00098074338913374
2015-11-23,-0.00145996189251302,-2.9126103218859978e-05,-0.0025639260842329993,-0.000949611296256925
2015-11-24,0.00080162949714672,-0.00097414037436036,0.001772642480848533,-0.00132832389636949
2015-11-30,0.0010942316296860602,-0.0004125485356006,0.0020111043366712665,-0.00036453125630106004
2015-12-01,0.00381603635998284,0.0036054872852275396,0.003767691071623133,0.002950457035679215
2015-12-02,-0.00544454908091736,-0.0029039853496506,-0.007148394953062433,-0.0035771389748444154
2015-12-03,-0.005518394590780641,-0.00933428158470976,-0.0028368944239239332,-0.007864401695337631
2015-12-04,0.0016654461241660608,-0.004830547522274379,0.005048877684851967,-0.00675866487419322
2015-12-07,-0.00217804725796196,1.008408826982032e-05,-0.003992241481038333,-0.0018698487192450753
2015-12-08,-0.0027376035230642004,-0.00471585355062558,-0.0020056023839855664,-0.006421911841093811
2015-12-09,-0.00444701493720476,-0.00638758365897658,-0.0040302845188469,-0.0091911242141212
2015-12-10,0.0026616395984076398,0.004688576397941419,0.0020718329847173,0.007037409395553649
2015-12-11,0.00047007560912763974,-0.00252445631346238,0.0012993748696319995,-0.0061522809123985755
2015-12-14,-0.0034664202090942202,0.0001484475340085196,-0.0050361016727033,0.002395594467455635
2015-12-15,0.0011001119565874,0.0029563360266411593,0.00047407894397043324,0.004785216386948495
2015-12-16,0.00393811655414638,0.00282385606488802,0.005288940967944333,0.005382361515799035
2015-12-17,0.0020286486825561003,0.008853791222793719,-0.0019996470774055666,0.009104252838472117
2015-12-18,0.0002482626473504601,-0.00490515698792604,0.0027414146639120995,-0.007151031105192016
2015-12-21,0.006070419012059361,0.00576596539795056,0.006861907854087033,0.008049027923809536
2015-12-22,-0.0046541692287451406,-0.0048425173772397,-0.004753283438569766,-0.005637978998194811
2015-12-23,0.0025902485022143602,0.005216496688108999,0.0016705397861175664,0.007676647421008966
2015-12-24,0.00192502747403808,0.0003590029116939,0.0028053463821635996,0.000136643551890195
2015-12-28,0.0018045374155416603,0.004948351256358979,0.00023744868676593353,0.006145349665288976
2015-12-29,-0.00206424289735948,-0.0018314224341974602,-0.0018343180952555666,-0.00044535838419323997
