Date,regime
2019-09-27,Crisis
2019-09-30,Crisis
2019-10-01,Crisis
2019-10-04,Crisis
2019-10-07,Crisis
2019-10-10,Crisis
2019-10-11,Crisis
2019-10-14,Crisis
2019-10-15,Crisis
2019-10-16,Crisis
2019-10-17,Crisis
2019-10-18,Crisis
2019-10-23,Crisis
2019-10-24,Crisis
2019-10-25,Crisis
2019-10-30,Crisis
2019-10-31,Crisis
2019-11-01,Crisis
2019-11-04,Crisis
2019-11-05,Crisis
2019-11-06,Crisis
2019-11-07,Crisis
2019-11-08,Crisis
2019-11-11,Crisis
2019-11-14,Crisis
2019-11-15,Crisis
2019-11-18,Crisis
2019-11-19,Crisis
2019-11-20,Crisis
2019-11-21,Crisis
2019-11-22,Crisis
2019-11-25,Crisis
2019-11-26,Crisis
2019-11-27,Crisis
2019-12-02,Crisis
2019-12-03,Crisis
2019-12-04,Crisis
2019-12-05,Crisis
2019-12-06,Crisis
2019-12-09,Crisis
2019-12-10,Crisis
2019-12-11,Crisis
2019-12-12,Crisis
2019-12-13,Crisis
2019-12-16,Crisis
2019-12-17,Bull
2019-12-18,Bull
2019-12-19,Bull
2019-12-20,Bull
2019-12-23,Bull
2019-12-24,Bull
2019-12-26,Bull
2019-12-27,Bull
2019-12-30,Bull
2019-12-31,Bull
2020-01-03,Bull
2020-01-06,Bull
2020-01-07,Bull
2020-01-08,Bull
2020-01-09,Bull
2020-01-10,Bull
2020-01-13,Bull
2020-01-14,Bull
2020-01-15,Bull
2020-01-16,Bull
2020-01-17,Bull
2020-01-22,Bull
2020-01-23,Bull
2020-01-24,Bull
2020-01-27,Bull
2020-01-28,Bull
2020-01-29,Bull
2020-01-30,Bull
2020-01-31,Bull
2020-02-03,Bull
2020-02-04,Bull
2020-02-05,Bull
2020-02-06,Bull
2020-02-07,Bull
2020-02-10,Bull
2020-02-11,Bull
2020-02-12,Bull
2020-02-13,Bull
2020-02-14,Bull
2020-02-19,Bull
2020-02-20,Bull
2020-02-25,Bull
2020-02-26,Bull
2020-02-27,Bull
2020-02-28,Bull
2020-03-02,Bull
2020-03-03,Bull
2020-03-04,Bull
2020-03-05,Bull
2020-03-06,Bull
2020-03-09,Bull
2020-03-12,Bull
2020-03-13,Bull
2020-03-16,Bull
2020-03-17,Bull
2020-03-18,Bull
2020-03-19,Bull
2020-03-20,Bull
2020-03-23,Bull
2020-03-24,Bull
2020-03-25,Bull
2020-03-26,Crisis
2020-03-27,Crisis
2020-03-30,Crisis
2020-03-31,Crisis
2020-04-01,Crisis
2020-04-08,Crisis
2020-04-09,Crisis
2020-04-13,Crisis
2020-04-16,Crisis
2020-04-17,Crisis
2020-04-20,Crisis
2020-04-21,Crisis
2020-04-22,Crisis
2020-04-23,Crisis
2020-04-24,Crisis
2020-04-27,Crisis
2020-04-28,Crisis
2020-04-29,Crisis
2020-04-30,Crisis
2020-05-05,Crisis
2020-05-06,Crisis
2020-05-07,Crisis
2020-05-08,Crisis
2020-05-11,Crisis
2020-05-12,Crisis
2020-05-13,Crisis
2020-05-14,Crisis
2020-05-15,Crisis
