,To Bull (S0),To Crisis (S1),To Bear (S2)
From Bull (S0),0.957406018311231,3.6216760979978964e-19,0.04259398168876899
From Crisis (S1),3.922207740368993e-16,0.9546532570516304,0.045346742948369184
From Bear (S2),0.0019876318019079156,0.0066046222153888804,0.9914077459827032
