Date,gross_ret,net_ret,turnover
2018-06-20,0.00214673359842194,0.00214673359842194,0.0
2018-06-21,-0.0006792014633237547,-0.0006792014633237547,0.0
2018-06-22,0.004578083832249853,0.004578083832249853,0.0
2018-06-25,-0.0027718198206056663,-0.0027718198206056663,0.0
2018-06-26,0.0005691688130783665,0.0005691688130783665,0.0
2018-06-27,-0.003961364265741062,-0.003961364265741062,0.0
2018-06-28,-0.005020303450719613,-0.005020303450719613,0.0
2018-06-29,0.0066928898612618045,0.0066928898612618045,0.0
2018-07-02,-0.0034743280555499002,-0.003474930362914949,0.000803076486732196
2018-07-03,0.003407905998302153,0.003407905998302153,0.0
2018-07-06,0.0016269885190989416,0.0016269885190989416,0.0
2018-07-09,0.0034332653517880193,0.0034332653517880193,0.0
2018-07-10,0.004899067723475209,0.004899067723475209,0.0
2018-07-11,0.0008696111079497861,0.0008696111079497861,0.0
2018-07-12,0.003961528389598707,0.003961528389598707,0.0
2018-07-13,0.0004181251211560267,0.0004181251211560267,0.0
2018-07-16,-0.005176458413772404,-0.005176458413772404,0.0
2018-07-17,0.0036840669117743476,0.0036840669117743476,0.0
2018-07-18,-0.0018280081072003446,-0.0018280081072003446,0.0
2018-07-19,-0.0002073551418467841,-0.0002073551418467841,0.0
2018-07-20,0.0015249209678164502,0.0015249209678164502,0.0
2018-07-23,0.002153278874177037,0.002153278874177037,0.0
2018-07-24,0.0029826687025742257,0.0029826687025742257,0.0
2018-07-25,-0.00039434736408606194,-0.00039434736408606194,0.0
2018-07-26,0.0015065943234178084,0.0015065943234178084,0.0
2018-07-27,0.0066532991450688195,0.0066532991450688195,0.0
2018-07-30,0.0017375795215431554,0.0017375795215431554,0.0
2018-07-31,0.002531409177765355,0.002531409177765355,0.0
2018-08-01,-0.00149059689926072,-0.001501100713339405,0.01400508543824655
2018-08-02,-0.0049217282081257955,-0.0049217282081257955,0.0
2018-08-03,0.007170584112066037,0.007170584112066037,0.0
2018-08-06,0.001583557114433636,0.001583557114433636,0.0
2018-08-07,-0.0007020263383630957,-0.0007020263383630957,0.0
2018-08-08,0.003538808739706521,0.003538808739706521,0.0
2018-08-09,0.002182323057499374,0.002182323057499374,0.0
2018-08-10,-0.000448257473055894,-0.000448257473055894,0.0
2018-08-13,-0.0039992545636705346,-0.0039992545636705346,0.0
2018-08-14,0.0037725958326404185,0.0037725958326404185,0.0
2018-08-17,0.004656216254795449,0.004656216254795449,0.0
2018-08-20,0.005475635313826404,0.005475635313826404,0.0
2018-08-21,0.00045710293816840096,0.00045710293816840096,0.0
2018-08-24,-0.0012221283445367692,-0.0012221283445367692,0.0
2018-08-27,0.006104268490810274,0.006104268490810274,0.0
2018-08-28,0.0015250141838233323,0.0015250141838233323,0.0
2018-08-29,-0.002531860078098253,-0.002531860078098253,0.0
2018-08-30,-5.5149355171372995e-05,-5.5149355171372995e-05,0.0
2018-08-31,0.0002686730257952211,0.0002686730257952211,0.0
2018-09-05,-0.0023010907947572014,-0.0023055861257299344,0.005993774630310839
2018-09-06,0.0039444890549388935,0.0039444890549388935,0.0
2018-09-07,0.0009061159307818397,0.0009061159307818397,0.0
2018-09-10,-0.007661545847578058,-0.007661545847578058,0.0
2018-09-11,-0.009394297143503766,-0.009394297143503766,0.0
2018-09-12,0.004814476289343121,0.004814476289343121,0.0
2018-09-17,-0.007099929277392472,-0.007099929277392472,0.0
2018-09-18,-0.006870232150091241,-0.006870232150091241,0.0
2018-09-19,-0.003033458442034793,-0.003033458442034793,0.0
2018-09-24,-0.009871733824521106,-0.009871733824521106,0.0
2018-09-25,0.004947774568848577,0.004947774568848577,0.0
2018-09-26,0.0006026293180890211,0.0006026293180890211,0.0
2018-09-27,-0.0040906534599753,-0.0040906534599753,0.0
2018-09-28,-0.0023308130182841755,-0.0023308130182841755,0.0
2018-10-01,0.0032426709763260795,0.0032337628800256477,0.011877461733909023
2018-10-04,-0.01557395728425674,-0.01557395728425674,0.0
2018-10-05,-0.017115265213078726,-0.017115265213078726,0.0
2018-10-08,0.001971643470148395,0.001971643470148395,0.0
2018-10-09,-0.0019164667475268014,-0.0019164667475268014,0.0
2018-10-10,0.009246751844398585,0.009246751844398585,0.0
2018-10-11,-0.01127288319540456,-0.01127288319540456,0.0
2018-10-12,0.013000320712562423,0.013000320712562423,0.0
2018-10-15,0.002504466895755787,0.002504466895755787,0.0
2018-10-16,0.004027291761743681,0.004027291761743681,0.0
2018-10-17,-0.008627373579283722,-0.008627373579283722,0.0
2018-10-22,-0.0032847270981914175,-0.0032847270981914175,0.0
2018-10-23,-0.004656160820668663,-0.004656160820668663,0.0
2018-10-24,0.006712114326016112,0.006712114326016112,0.0
2018-10-25,-0.006761463702294943,-0.006761463702294943,0.0
2018-10-26,-0.0036941540665121797,-0.0036941540665121797,0.0
2018-10-29,0.012682654689061103,0.012682654689061103,0.0
2018-10-30,-0.003917690236915935,-0.003917690236915935,0.0
2018-10-31,0.009745039804346215,0.009745039804346215,0.0
2018-11-01,-1.293323288961999e-05,-1.764696319110545e-05,0.006284973735313948
2018-11-02,0.007649639055190457,0.007649639055190457,0.0
2018-11-05,-0.0014277376393993608,-0.0014277376393993608,0.0
2018-11-06,-9.122136581375624e-05,-9.122136581375624e-05,0.0
2018-11-07,0.003914044151506011,0.003914044151506011,0.0
